"Operation Index","Operation Name","Latency","Priority"
0,"u3 (32FA273)","00:00:00.0010000","40"
1,"barrier (ACB610)","00:00:00.0010000","39"
2,"u3 (2126697)","00:00:00.0010000","38"
3,"measurement (2A59B4F)","00:00:00.0030000","37"
4,"if 1 then u3 (3D275CA)","00:00:00.0020000","34"
5,"u3 (2662422)","00:00:00.0010000","32"
6,"measurement (1974537)","00:00:00.0030000","31"
7,"if 1 then u3 (2516EF2)","00:00:00.0020000","28"
8,"if 2 then u3 (DCE684)","00:00:00.0020000","26"
9,"if 3 then u3 (3C41AA6)","00:00:00.0020000","24"
10,"u3 (1E4EFD9)","00:00:00.0010000","22"
11,"measurement (10C6EA7)","00:00:00.0030000","21"
12,"if 1 then u3 (16FE3DF)","00:00:00.0020000","18"
13,"if 2 then u3 (EF02DC)","00:00:00.0020000","16"
14,"if 3 then u3 (6719BD)","00:00:00.0020000","14"
15,"if 4 then u3 (39FE7AD)","00:00:00.0020000","12"
16,"if 5 then u3 (9F251C)","00:00:00.0020000","10"
17,"if 6 then u3 (1984E04)","00:00:00.0020000","8"
18,"if 7 then u3 (25ABE24)","00:00:00.0020000","6"
19,"u3 (130AF46)","00:00:00.0010000","4"
20,"measurement (2B6297C)","00:00:00.0030000","3"
