"Operation Index","Operation Name","Latency","Priority"
0,"u3 (25E0A69)","00:00:00.0010000","24"
1,"barrier (14E5DB8)","00:00:00.0010000","23"
2,"u3 (3C14B78)","00:00:00.0010000","22"
3,"measurement (1CBA73B)","00:00:00.0030000","21"
4,"if 1 then u3 (28E11B)","00:00:00.0020000","18"
5,"u3 (16FE9F8)","00:00:00.0010000","16"
6,"measurement (EF39BB)","00:00:00.0030000","15"
7,"if 1 then u3 (690795)","00:00:00.0020000","14"
8,"if 1 then u3 (3B1443F)","00:00:00.0020000","12"
9,"u3 (13B663A)","00:00:00.0010000","10"
10,"measurement (3169810)","00:00:00.0030000","9"
11,"if 1 then u3 (3CB5890)","00:00:00.0020000","10"
12,"if 1 then u3 (2261D15)","00:00:00.0020000","8"
13,"if 1 then u3 (35705BE)","00:00:00.0020000","6"
14,"u3 (20F33B6)","00:00:00.0010000","4"
15,"measurement (288D16D)","00:00:00.0030000","3"
